"","logFC","AveExpr","t","P.Value","adj.P.Val","B","type"
"TRRAP",0.0155492056451587,5.98015442857143,0.434976887041571,0.665039961834538,0.999962582242539,-5.8443803511688,"No Signif"
"RPA4",0.015549149193546,3.50301520634921,0.272616516979193,0.786024171907317,0.999962582242539,-5.89858867283837,"No Signif"
"LIME1",0.0155478528225803,6.71701003174603,0.536313210023439,0.593598198350508,0.999962582242539,-5.79802006190564,"No Signif"
"MAP3K1",0.0155364647177398,5.14481266666667,0.395881945361569,0.693506534724066,0.999962582242539,-5.85969659324883,"No Signif"
"AMN1",0.0155348019153205,4.68541053174603,0.416659580689448,0.678319168685467,0.999962582242539,-5.851734955393,"No Signif"
"ARCN1",0.0155302500000012,7.15577138095238,0.225908919433185,0.821990914412615,0.999962582242539,-5.90958825883894,"No Signif"
"TM9SF3",0.0155236935483849,7.60448685714286,0.167506652682123,0.867498671802,0.999962582242539,-5.9204462647696,"No Signif"
"PKD2L1",0.0155206965725792,3.82666623809524,0.909838505567142,0.366315658672853,0.999962582242539,-5.54493282413284,"No Signif"
"SLC25A18",0.015518747983867,4.9279936031746,0.581124281989702,0.563194194906866,0.999962582242539,-5.77446386694592,"No Signif"
"SSBP4",0.0155143437500005,6.4269393015873,0.45543882445806,0.650332335155711,0.999962582242539,-5.83579296621821,"No Signif"
"SLC22A10",0.0155079999999987,2.63057507936508,1.12104748878101,0.266449312495794,0.999962582242539,-5.34556008417295,"No Signif"
"SPO11",0.0155013024193535,2.383436,0.808229967518827,0.421947174560309,0.999962582242539,-5.62647712657948,"No Signif"
"C9orf40",0.0154983780241924,4.99026709523809,0.457157227134944,0.649103400121609,0.999962582242539,-5.83505395084946,"No Signif"
"MRO",0.0154953145161305,4.00643757142857,0.547432373146098,0.58598248927132,0.999962582242539,-5.79234940958546,"No Signif"
"MMP20",0.0154914364919341,3.7275366984127,0.591622714433203,0.556183755808665,0.999962582242539,-5.76867490648155,"No Signif"
"CSNK1A1L",0.0154885796370952,4.47135766666667,0.51117513055089,0.610984418812951,0.999962582242539,-5.81041525340482,"No Signif"
"RBP2",0.0154813941532241,4.74486295238095,0.536496988524638,0.593471949087253,0.999962582242539,-5.7979272734596,"No Signif"
"PRKCE",0.0154812772177433,5.54692163492064,0.47233898936371,0.638288756766738,0.999962582242539,-5.82840484610254,"No Signif"
"OR13A1",0.0154804788306429,3.17208777777778,0.602852220103597,0.548733676981584,0.999962582242539,-5.76236944571486,"No Signif"
"DYDC1",0.0154788145161269,3.25903019047619,0.964668526576392,0.338335632829626,0.999962582242539,-5.49703276599923,"No Signif"
"OR5D13",0.0154772590725809,2.68606917460317,0.562794656560301,0.575537586955396,0.999962582242539,-5.78432531109677,"No Signif"
"FBXL3",0.0154762086693516,6.19485325396825,0.343257725487617,0.732527660402107,0.999962582242539,-5.87804821288791,"No Signif"
"ERI3",0.0154749949596766,6.08143347619048,0.707198543725542,0.482005873068,0.999962582242539,-5.69818876423024,"No Signif"
"TNMD",0.015467785282258,2.41241052380952,0.653496416002352,0.515773320067397,0.999962582242539,-5.7324783602809,"No Signif"
"TAF7",0.0154630433467737,8.04092985714286,0.337473980746628,0.736862066334844,0.999962582242539,-5.87990645401281,"No Signif"
"CYP2U1",0.0154618165322566,3.66149549206349,1.12526997172349,0.264669741058896,0.999962582242539,-5.34116725352961,"No Signif"
"TMEM216",0.015456299395165,5.06914823809524,0.537855624319162,0.592539005463134,0.999962582242539,-5.79724033121131,"No Signif"
"PDILT",0.0154531774193538,3.46005255555556,0.740946115885589,0.461431434166966,0.999962582242539,-5.67527870033709,"No Signif"
"TRIM17",0.0154485846774186,5.77795319047619,0.492544814684496,0.624016879879474,0.999962582242539,-5.81922101861525,"No Signif"
"RDH5",0.0154472288306442,5.32798488888889,0.936628687973695,0.352464546204127,0.999962582242539,-5.52186862844616,"No Signif"
"TMEM223",0.0154456330645152,5.49853214285714,0.703399505332323,0.484353556419073,0.999962582242539,-5.70070206004818,"No Signif"
"TTC9C",0.0154435997983864,5.15460517460317,0.446700406470088,0.656596722823904,0.999962582242539,-5.83950823671943,"No Signif"
"NOS1AP",0.0154271391129024,5.43809955555556,0.724632606915247,0.471313835282092,0.999962582242539,-5.68648439214464,"No Signif"
"NOL4",0.0154176204637086,2.88108931746032,0.675145449049355,0.502011140015032,0.999962582242539,-5.71897580915847,"No Signif"
"RDM1",0.0154148876008056,3.26802438095238,0.557062042197178,0.579424685797972,0.999962582242539,-5.78734530128413,"No Signif"
