"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HLA-J",-0.0895525614919341,5.66831895238095,-2.09966944778522,0.0396998405870828,0.999989830735706,-3.90802923858154
"NEDD9",-0.0898699848790327,4.70485726984127,-2.32274953775272,0.0233791003739461,0.999989830735706,-3.47834005824191
"UBE2QL1",-0.0900178598790307,3.55035715873016,-2.49181538640631,0.0153066928952686,0.999989830735706,-3.12873342850186
"ALDH1A2",-0.0900277822580642,3.95867563492064,-2.74692148244043,0.00780111831352246,0.999989830735706,-2.56408926166621
"GBP1P1",-0.0900489596774197,4.30025255555556,-2.83709525136778,0.00608798764831803,0.999989830735706,-2.35428895743679
"ANKRD1",-0.0900681713709695,3.15727257142857,-2.2505325136942,0.0278536573459164,0.999989830735706,-3.62145179557938
"MT1M",-0.090236314516134,5.39443274603175,-2.46950994441297,0.0162038085958938,0.999989830735706,-3.1760072840363
"SNORD115-4",-0.0904274334677422,2.03488547619048,-2.26276796305999,0.0270460670847623,0.999989830735706,-3.59747176503123
"IFI35",-0.0904383014112922,5.38306773015873,-2.23999816239555,0.0285659385391051,0.999989830735706,-3.64201011741818
"AIDA",-0.0907534576612905,5.81104865079365,-2.00270001667454,0.0494430358420607,0.999989830735706,-4.08317907540194
"XCL1",-0.0908109747983872,3.22764598412698,-2.18068040976687,0.0328840993259843,0.999989830735706,-3.75624647434003
"ANKRD22",-0.0912969153225793,2.72370025396825,-2.95622008260592,0.00435472134248537,0.999989830735706,-2.0692969264452
"SRD5A3",-0.0915108215725828,5.2613546031746,-2.08437582008324,0.0411159926210919,0.999989830735706,-3.93612916363791
"PAMR1",-0.0916910826612938,4.5688223968254,-2.45095679057271,0.0169857381347872,0.999989830735706,-3.21506527386385
"CXCL16",-0.0920399475806475,5.55627287301587,-2.0555249609524,0.043907044539245,0.999989830735706,-3.98865505653874
"LTA4H",-0.0921423044354857,4.3306833015873,-2.05029579159822,0.0444300755812766,0.999989830735706,-3.99810739083269
"CD180",-0.0925861451612882,3.19264676190476,-2.26478546655646,0.0269149088260179,0.999989830735706,-3.59350719631727
"SRFBP1",-0.0926032802419376,4.19723638095238,-2.01859695605949,0.047717192868077,0.999989830735706,-4.0549587598626
