Tag	dynamicColors	mergedColors
REG3A	brown	brown
HYAL2	grey	grey
ERAP1	blue	blue
TIPIN	grey	grey
OR2L3	grey	grey
RTL1	grey	grey
MROH2A	turquoise	brown
LINC00634	grey	grey
SAMD4A	pink	pink
TMEM247	grey	grey
EGLN1	grey	grey
DSEL	grey	grey
RPL31	grey	grey
HCRTR2	grey	grey
RPS6KB1	red	pink
IRX5	brown	brown
LATS1	brown	brown
SPX	grey	grey
KCNK13	grey	grey
DUSP9	grey	grey
NCAPG	grey	grey
EPSTI1	black	black
ZNF749	grey	grey
ELF2	red	pink
BACH2	turquoise	brown
KRTAP19-4	grey	grey
GPR17	grey	grey
C1GALT1	red	pink
SLC39A11	grey	grey
FAM20C	turquoise	brown
GAB4	grey	grey
SPARC	grey	grey
ATMIN	grey	grey
DEFB114	grey	grey
LINC00672	grey	grey
ZNF781	grey	grey
IL36A	grey	grey
ATP2C1	grey	grey
SS18	red	pink
ASB1	grey	grey
LYPD8	grey	grey
TTC7B	magenta	green
LANCL3	turquoise	brown
SHFL	turquoise	brown
TET2	blue	blue
STOX2	grey	grey
SYT2	turquoise	brown
TNP1	brown	brown
RNMT	pink	pink
STAT5A	grey	grey
OR10A4	grey	grey
TRMT13	blue	blue
CTAGE9	grey	grey
CSNK2A1	grey	grey
CACHD1	grey	grey
TRIM32	grey	grey
NOL3	brown	brown
CABCOCO1	grey	grey
CEP131	turquoise	brown
CD5L	grey	grey
CLDN16	grey	grey
MIP	turquoise	brown
USP14	pink	pink
DBNDD1	turquoise	brown
RFLNA	brown	brown
DBF4B	turquoise	brown
C11orf45	brown	brown
CREB5	blue	blue
CIAO3	blue	blue
TUBB	green	green
NAA35	pink	pink
LTV1	turquoise	brown
PM20D1	red	pink
WFDC5	grey	grey
DYNC1H1	blue	blue
BMP4	grey	grey
A4GNT	grey	grey
ADK	purple	pink
LPAR3	grey	grey
IGSF9B	brown	brown
KLK14	grey	grey
S100A5	turquoise	brown
PRDX2	grey	grey
CABYR	turquoise	brown
CSE1L	red	pink
TCF7L2	black	black
LDHAL6A	grey	grey
CCR4	grey	grey
SNX10	grey	grey
SLC13A5	turquoise	brown
PLA2G4A	grey	grey
TMCO5A	grey	grey
GJA8	grey	grey
TPGS2	green	green
TAPBP	grey	grey
LINC00514	brown	brown
ISOC2	turquoise	brown
SNX17	yellow	yellow
CHPT1	grey	grey
ADARB2	brown	brown
TMF1	blue	blue
SFXN2	grey	grey
RPL22L1	grey	grey
TAF1L	grey	grey
UBASH3A	brown	brown
PEX14	grey	grey
INSL4	grey	grey
TMEM70	blue	blue
SLC15A3	grey	grey
ANKEF1	grey	grey
UBE3B	grey	grey
SHISA5	green	green
HNRNPA1L2	grey	grey
UNC5A	turquoise	brown
LGALS14	grey	grey
DHX29	pink	pink
KCNMB4	grey	grey
ESS2	blue	blue
FBLL1	grey	grey
ENPP7	turquoise	brown
REC8	turquoise	brown
PARP11	grey	grey
NDUFC1	yellow	yellow
HIGD2B	grey	grey
TYW3	grey	grey
EPHX4	grey	grey
FNDC3A	blue	blue
GGTLC1	grey	grey
HSPA6	turquoise	brown
ZNF837	brown	brown
RIN3	grey	grey
SRPK2	blue	blue
PRPF8	magenta	green
POGLUT1	grey	grey
AKAP7	grey	grey
CDX4	grey	grey
ZNF730	grey	grey
UPF2	blue	blue
LHFPL2	grey	grey
MISP3	grey	grey
SDCBP	grey	grey
CDKN2AIPNL	yellow	yellow
CD200	grey	grey
KRTAP3-3	grey	grey
RAPSN	turquoise	brown
WDR75	blue	blue
PPP1R1A	brown	brown
TRAK1	grey	grey
KSR2	grey	grey
MAJIN	grey	grey
ADRA2C	turquoise	brown
POTEG	grey	grey
TUSC3	grey	grey
ACTL7A	brown	brown
KIAA0100	brown	brown
TSPYL6	magenta	green
CRP	grey	grey
CBL	black	black
ADGRB2	turquoise	brown
FEV	turquoise	brown
CST6	grey	grey
RASSF8	grey	grey
AXL	grey	grey
TCF7	turquoise	brown
CYC1	blue	blue
IKBKB	grey	grey
TPPP	grey	grey
RMND1	grey	grey
ANKFN1	grey	grey
ANKUB1	blue	blue
HS3ST1	brown	brown
RNASE8	grey	grey
ZNF615	grey	grey
CASP8	grey	grey
N4BP1	greenyellow	pink
VN1R1	grey	grey
TIMD4	grey	grey
WFDC1	grey	grey
MYH9	grey	grey
GPRASP2	grey	grey
RRAS	green	green
OR13C4	grey	grey
VAMP7	grey	grey
CIAO2A	grey	grey
TCTE3	grey	grey
CCNE2	grey	grey
PDK3	grey	grey
TRIP10	grey	grey
MRPS34	yellow	yellow
SF3A1	magenta	green
GNA15	grey	grey
ARMCX5	grey	grey
PRAMEF14	grey	grey
CERS2	purple	pink
TMED4	tan	pink
MAPK13	grey	grey
SULT1A2	turquoise	brown
PKIG	grey	grey
THPO	grey	grey
PINLYP	grey	grey
MBOAT2	grey	grey
HHEX	turquoise	brown
IFFO2	turquoise	brown
SRSF1	blue	blue
CRIP1	grey	grey
KIAA1549L	turquoise	brown
KCNG4	grey	grey
WNK2	turquoise	brown
HINT1	yellow	yellow
ITPRIPL1	turquoise	brown
PPP2R2D	grey	grey
FOXG1	blue	blue
SLC2A12	grey	grey
DCTN2	grey	grey
TEX38	grey	grey
TMSB15B	turquoise	brown
ZNF567	red	pink
HBP1	pink	pink
INTS9	grey	grey
LRRN1	grey	grey
GLIPR1	black	black
ECM1	grey	grey
ZIC5	grey	grey
APLP2	grey	grey
FIBCD1	turquoise	brown
SLC10A4	grey	grey
PHF3	blue	blue
PBX3	grey	grey
PSG3	grey	grey
CT47A7	grey	grey
TMEM222	grey	grey
GRIN2C	turquoise	brown
FOLR1	grey	grey
LILRA1	grey	grey
ZC2HC1A	grey	grey
TELO2	turquoise	brown
KRT13	turquoise	brown
CTNNBIP1	turquoise	brown
GPX7	grey	grey
A2M	grey	grey
CNPY2	yellow	yellow
WT1	grey	grey
POLR3C	grey	grey
ANAPC4	blue	blue
SRCIN1	turquoise	brown
RSRC2	blue	blue
TRAF7	grey	grey
GRHL3	grey	grey
ZNF668	turquoise	brown
POLR3H	grey	grey
NUS1	tan	pink
FUT5	grey	grey
TRIM7	turquoise	brown
RELT	turquoise	brown
GSTM4	grey	grey
PKM	grey	grey
C11orf71	grey	grey
TMBIM6	green	green
MUC12	grey	grey
UAP1	grey	grey
TM4SF20	grey	grey
SHARPIN	grey	grey
GDI2	green	green
RFK	grey	grey
PDE3B	grey	grey
DLL4	turquoise	brown
EDEM3	red	pink
ADAMTS5	grey	grey
CELA2B	pink	pink
